distance_delta,packet_rate_delta,energy_delta,is_capture,is_flooder_attack,is_faker_attack,attack_success
3519,166,3,True,True,False,True
2452,165,1,False,True,False,False
1167,158,5,False,False,True,True
2807,41,17,False,False,True,True
1260,172,5,False,True,False,True
4820,174,15,True,True,False,True
4153,79,10,True,True,False,True
661,75,1,False,False,False,False
1868,123,19,True,True,True,True
3237,23,6,False,False,False,False
2769,25,10,True,False,False,True
4433,124,9,True,True,False,True
3367,42,11,True,False,False,True
3556,156,10,True,False,True,True
3556,79,8,True,False,False,True
4514,116,10,True,True,False,False
2195,45,19,True,False,True,False
3513,73,19,True,False,True,True
44,157,10,False,True,False,True
4860,62,16,True,False,True,True
3882,14,15,True,False,True,True
2231,198,7,True,True,True,True
3249,46,12,False,True,False,True
3372,1,0,True,False,False,True
4369,88,3,False,False,False,False
785,70,5,False,True,False,False
1203,43,11,False,False,True,False
1929,17,5,False,False,True,True
2110,131,9,True,True,False,True
3840,124,7,True,False,False,True
412,189,12,False,True,False,True
840,174,0,True,True,False,True
20,144,9,False,True,True,False
4951,36,7,True,False,False,True
1543,100,10,True,False,True,False
2939,159,17,True,True,True,True
4417,152,17,True,True,True,True
1998,154,16,False,True,True,True
2686,84,3,True,True,False,False
3259,143,7,True,False,False,True
4022,70,6,True,True,False,True
2118,136,13,False,False,True,True
2107,89,20,False,True,True,True
3857,182,11,True,True,False,True
182,129,5,False,True,False,True
2121,100,14,False,True,True,True
1369,199,1,False,False,False,False
1971,105,5,False,True,False,True
3776,8,19,True,False,True,True
2090,175,15,True,True,True,True
2410,37,19,True,True,True,True
2615,115,9,True,False,True,True
1764,57,6,False,True,False,True
4739,60,1,True,False,False,True
1236,193,14,True,True,True,True
3755,52,11,True,False,True,True
1738,127,3,False,True,False,True
765,136,12,True,False,False,True
3426,21,8,False,False,True,False
2877,152,20,True,True,False,False
4612,138,6,True,True,False,True
490,33,10,False,False,False,False
1659,145,20,False,False,True,True
941,186,7,False,True,False,True
1566,11,17,False,False,True,True
811,18,6,False,False,False,False
37,74,16,False,True,True,True
3973,99,1,True,False,False,False
4724,24,13,False,False,True,True
3160,37,5,True,False,True,True
4805,31,8,True,False,True,False
812,132,14,True,True,True,True
4034,44,2,True,False,False,True
3626,194,3,True,True,True,True
936,31,17,False,False,True,True
1516,39,1,False,False,False,False
2820,189,4,True,True,False,False
1686,134,9,True,True,False,False
642,54,9,False,False,True,True
4288,170,19,True,True,True,True
2720,177,14,False,True,True,False
2270,54,17,False,False,True,True
477,64,12,False,False,False,False
2889,91,15,True,False,True,False
2154,66,19,False,False,True,False
1038,198,3,False,True,False,True
4129,179,20,True,True,True,True
656,104,5,False,True,False,False
1149,19,10,True,False,True,True
2525,115,8,True,True,False,True
1051,189,4,True,True,False,True
4924,31,7,True,False,False,True
1088,19,9,False,False,True,True
4759,134,5,True,False,False,True
4234,141,12,True,False,False,True
1402,37,8,False,False,False,False
1757,171,17,False,True,False,True
3180,191,16,True,True,True,True
3637,106,8,True,True,True,True
3391,69,10,True,False,True,True
2401,181,5,False,True,False,True
1591,4,7,False,False,False,False
1798,31,11,False,False,True,True
4127,74,16,True,False,False,True
2082,40,1,True,True,False,True
122,76,1,False,False,False,False
4171,123,0,False,False,False,False
4496,182,10,True,True,False,True
3663,6,0,True,False,False,True
3158,75,16,True,False,True,True
0,144,0,False,True,False,True
3412,54,7,True,False,True,False
54,113,8,False,True,True,True
454,65,16,False,False,True,False
474,104,1,False,True,False,True
3887,145,17,True,False,True,True
3335,183,9,True,False,True,True
3052,35,1,True,False,False,True
1167,188,17,False,True,True,True
3911,165,19,True,True,True,True
4758,163,15,True,False,False,True
806,168,9,False,True,False,True
1863,13,12,True,False,True,True
2134,49,1,True,False,False,True
4665,160,5,True,True,True,True
3580,68,4,True,True,False,True
1573,162,7,False,True,False,True
2584,110,17,False,False,True,True
2157,31,11,False,False,True,True
428,166,10,False,True,False,True
631,180,3,False,False,True,False
1525,199,1,False,True,False,False
4950,84,2,True,False,False,True
4168,21,3,False,False,False,False
1221,19,10,False,False,True,True
1279,69,1,False,False,False,False
1514,22,20,False,False,True,True
4826,192,5,False,True,False,True
1096,176,12,False,True,True,True
2627,138,16,False,True,True,True
4597,180,3,True,True,False,False
4454,112,4,True,True,True,True
958,161,1,True,True,False,True
1608,44,15,False,False,True,True
2468,109,6,True,False,False,True
2841,78,2,True,True,False,True
171,17,4,False,False,False,False
2496,92,17,True,True,True,True
101,141,20,False,True,True,False
4538,105,5,True,False,False,True
878,96,17,False,True,True,True
2087,13,7,False,False,True,True
1270,25,11,False,False,True,True
1321,124,12,False,True,True,True
813,35,6,True,False,False,False
4565,31,15,True,False,False,False
1717,142,9,True,False,False,True
1105,111,15,False,True,True,True
3995,124,17,True,False,False,True
1802,80,19,True,True,True,True
4063,53,20,True,False,True,True
541,27,18,False,False,True,True
3105,188,12,True,True,True,True
2176,110,2,True,True,False,False
504,177,3,False,False,False,False
4249,35,20,True,False,True,True
2360,85,1,True,False,False,True
2262,10,7,False,False,False,False
3334,195,13,True,True,True,True
4361,170,11,True,True,True,True
1382,131,20,False,True,True,True
219,134,7,False,True,False,True
4868,199,13,True,True,True,True
3836,121,8,False,True,False,True
3222,105,9,False,True,False,True
4341,178,15,True,True,True,True
3204,17,16,True,False,True,True
2230,180,3,True,True,False,False
2818,97,7,False,True,False,False
2614,111,11,False,False,True,True
754,133,1,False,False,False,False
971,113,7,False,False,False,False
2277,139,16,False,True,True,True
2936,100,8,True,True,True,True
2013,40,8,False,False,False,False
1671,181,1,False,True,False,True
4732,197,20,True,True,True,True
55,106,19,False,True,True,True
4593,25,20,True,False,True,True
4530,136,19,True,True,True,True
3813,136,1,True,True,False,True
4211,27,12,True,False,True,True
3442,40,17,True,False,True,True
692,155,4,False,True,False,False
2702,54,20,False,False,True,True
2226,177,17,False,False,False,False
2033,186,10,True,False,True,True
787,31,4,False,False,False,False
4545,49,9,True,False,False,True
4704,117,17,True,True,True,True
2389,132,20,True,True,True,True
926,187,15,True,True,True,True
2784,56,8,True,False,False,True
169,177,13,False,True,False,True
4675,170,10,True,True,False,True
662,10,11,False,False,True,True
4770,120,3,True,True,False,True
1791,87,10,False,True,False,True
3307,89,5,False,True,False,True
4780,21,2,False,False,False,False
3437,95,10,False,False,True,True
3417,129,7,True,True,False,True
2071,101,9,False,True,False,True
1879,72,2,True,False,False,True
2045,122,16,True,True,True,True
1211,173,14,False,True,False,True
1077,136,5,False,False,True,True
4802,180,8,True,True,False,True
1807,70,16,True,False,True,True
2323,147,0,False,True,False,True
1108,43,3,False,False,False,False
2861,159,16,True,True,True,True
2397,10,1,True,False,False,True
818,30,12,False,False,True,True
1659,104,9,False,False,True,True
3538,172,14,True,True,True,True
3956,188,2,True,True,False,False
2110,111,0,True,False,False,True
936,138,19,False,True,True,True
99,101,13,False,False,True,True
1337,93,12,False,False,True,False
2518,165,13,False,True,True,False
1153,155,16,False,False,True,True
1853,48,1,False,False,False,False
2173,119,1,False,False,False,False
4715,123,12,True,True,False,True
4199,75,15,True,False,True,True
55,120,18,False,True,True,True
301,10,7,False,False,True,True
3416,109,0,True,False,False,True
4878,171,15,True,True,True,True
1540,6,16,False,False,True,True
4250,119,11,True,True,True,True
2271,86,6,False,True,False,False
1339,88,16,False,True,True,True
3417,147,8,True,True,True,True
2002,46,10,False,False,False,False
3450,184,6,True,True,False,True
1263,169,1,False,True,False,False
0,148,5,False,False,False,False
2098,114,18,False,True,True,True
4015,45,13,True,False,True,False
3674,164,12,True,True,True,True
2031,59,4,True,True,False,True
4497,100,16,True,False,True,False
1755,25,6,False,False,True,True
4489,107,9,True,True,True,True
4890,10,11,True,False,True,True
4565,174,16,True,True,False,False
4542,104,17,True,False,True,True
230,166,1,False,True,False,True
3280,87,12,True,True,False,True
3731,107,12,True,True,True,True
1117,104,6,False,True,False,True
2888,14,2,True,False,False,True
1682,17,18,True,False,True,True
3729,62,2,False,False,False,False
4452,123,20,True,True,True,True
956,60,20,False,False,True,True
4372,117,1,True,True,False,True
682,104,10,False,True,True,True
2107,0,20,True,False,True,True
4328,45,20,True,False,True,True
3129,68,8,True,True,False,False
2670,52,8,True,False,False,True
4762,57,5,True,False,False,False
4238,68,14,True,False,True,True
4763,26,16,True,False,True,True
1174,103,7,False,False,True,False
843,115,15,False,False,True,True
4069,93,11,True,False,False,True
1621,180,11,False,True,True,True
4757,164,20,False,True,True,False
408,104,0,False,False,False,False
3952,68,18,True,False,True,True
684,154,18,False,True,True,False
3543,70,13,True,True,True,True
1319,137,6,True,True,False,False
360,123,16,False,True,True,False
2938,33,11,False,False,True,True
1507,24,20,False,False,True,True
1692,81,1,False,True,False,False
3644,187,1,True,True,False,True
298,106,1,False,True,False,True
2741,33,11,True,False,True,True
1435,43,1,False,False,False,False
3059,173,1,True,True,False,True
1529,46,16,False,True,True,True
3154,113,15,True,False,True,True
1501,96,12,False,False,False,False
2595,187,20,True,True,True,True
2609,5,6,False,False,True,True
4572,164,19,True,True,True,True
583,46,4,False,True,False,False
3545,181,10,True,True,False,False
2106,146,13,False,True,False,False
3423,67,10,True,True,False,True
978,44,7,False,True,False,True
3788,47,12,True,False,False,True
1556,198,8,True,True,True,True
1879,153,9,True,False,True,True
44,166,13,False,True,True,True
2641,197,6,False,False,False,False
3733,91,20,True,True,True,True
2070,105,3,True,True,False,True
1915,69,7,True,False,False,True
1741,129,18,False,True,True,True
1561,129,18,False,False,True,True
3612,140,3,True,True,False,True
3903,157,4,True,True,False,False
1427,85,20,False,True,True,True
1078,107,4,False,False,False,False
725,105,15,False,True,True,False
2181,49,11,False,False,True,True
2242,54,10,True,False,False,True
3566,183,8,True,True,False,True
1204,22,10,False,False,False,False
4677,17,20,True,False,True,False
1912,107,20,False,True,True,True
1654,86,20,False,True,True,True
4940,4,7,True,False,True,False
1314,15,2,False,False,False,False
1582,199,20,False,True,True,True
3301,189,3,True,True,False,True
4739,41,4,True,False,False,False
1546,13,7,False,False,True,True
3372,141,20,True,True,True,True
3129,67,12,False,False,True,True
656,100,12,False,True,True,True
1918,166,12,False,True,True,True
4463,106,2,False,True,False,True
2101,191,7,True,False,True,True
3381,138,6,True,True,True,True
2442,38,18,True,False,True,True
229,139,5,False,True,False,False
929,80,7,False,True,False,True
3082,106,13,True,True,False,True
4911,146,19,True,True,True,True
1583,94,6,False,True,False,True
1953,2,15,True,False,False,True
2758,145,11,True,True,True,True
4137,39,9,True,False,True,False
438,11,3,False,False,True,True
4240,89,18,True,False,True,True
3615,125,15,True,False,True,True
1199,104,5,False,False,False,False
3654,13,8,True,False,False,True
1363,96,1,False,False,False,False
344,77,5,False,False,False,False
1054,65,14,False,False,False,False
4983,184,7,True,True,False,True
472,166,11,False,True,True,True
4750,36,14,True,False,True,True
2655,154,14,True,False,True,True
2384,79,19,True,False,True,False
4207,29,20,True,False,True,False
3230,2,13,True,False,True,True
1157,167,0,False,True,False,True
4730,96,2,True,True,False,True
3645,92,20,True,False,True,True
25,174,15,False,True,True,True
2829,179,3,False,True,False,True
4824,159,3,True,True,False,False
2541,195,9,True,True,True,True
2499,66,3,True,False,False,False
5,13,14,False,False,True,True
207,105,19,False,True,False,False
4679,150,13,True,True,True,True
4767,113,19,True,True,True,True
3110,30,6,True,False,False,True
856,11,1,True,False,False,True
967,101,5,False,False,False,False
1064,199,6,False,True,True,True
4372,183,20,True,True,True,True
589,88,6,False,False,False,False
4616,59,5,True,True,False,True
2494,154,9,True,True,False,True
753,111,18,False,True,True,True
727,76,12,True,True,False,True
4213,170,19,True,True,True,True
3624,180,2,True,True,False,True
3581,185,18,True,True,True,True
1251,11,16,False,False,True,True
2260,133,14,False,True,True,True
536,175,6,False,True,False,True
3329,56,12,True,False,True,True
1192,191,17,False,True,False,True
3913,118,0,True,False,False,True
898,186,4,False,True,False,True
3579,28,15,True,False,True,True
3718,115,4,True,False,False,False
1299,124,14,False,False,False,False
2204,152,18,True,True,True,True
3330,38,5,True,False,False,True
1371,160,2,False,True,False,True
1033,120,14,False,True,False,True
1877,194,15,False,True,True,True
954,117,18,False,True,True,True
3165,113,6,False,True,False,True
4787,84,11,True,False,True,True
1272,42,15,False,False,False,False
2196,26,19,True,False,True,False
3250,97,2,True,True,False,True
2977,113,8,False,True,True,True
3449,182,11,True,True,True,True
2349,184,2,False,True,False,False
4648,137,2,True,True,False,True
213,56,19,False,False,True,True
3181,70,5,False,False,False,False
416,155,17,False,True,True,True
3774,140,10,False,True,False,False
2709,39,6,True,False,True,True
1684,71,20,False,False,True,True
4137,119,8,True,False,False,True
4881,163,15,True,True,True,True
3550,73,10,False,False,True,True
1670,125,6,False,True,False,True
2960,110,6,False,True,False,True
1849,125,10,False,True,False,True
3788,133,0,True,True,False,True
4846,182,6,True,True,True,True
3436,78,15,True,False,True,False
3793,187,10,True,True,False,True
1976,132,9,False,False,False,False
4939,161,15,True,True,True,True
4321,111,11,True,True,True,True
4479,114,3,True,True,False,True
4273,71,17,True,False,True,True
2654,81,18,True,False,True,True
1133,197,17,False,True,True,True
3101,147,0,True,True,False,True
4705,198,8,True,True,True,True
3084,95,14,False,True,True,False
3510,83,19,True,True,True,True
433,158,15,True,True,True,True
399,73,12,False,False,True,False
518,158,19,False,True,True,True
4376,186,9,True,True,False,True
1978,124,1,False,True,False,False
1620,175,4,False,True,False,True
1956,163,4,False,True,False,False
3678,168,8,True,True,False,True
3972,170,14,True,True,False,False
4272,81,14,True,False,True,False
1001,75,7,False,True,False,True
1795,61,8,False,False,False,False
1479,1,6,False,False,False,False
916,76,6,False,False,True,True
1773,168,0,True,True,False,True
242,24,3,False,False,False,False
3931,100,14,True,False,True,True
1465,26,20,False,False,True,True
4258,74,9,True,False,False,True
2072,2,20,False,False,True,True
657,192,5,False,True,True,True
4043,193,2,True,True,False,True
4864,65,19,True,False,True,True
3875,97,1,True,False,False,True
2858,15,8,True,False,True,True
4079,37,19,True,False,True,False
519,114,4,False,True,False,True
4052,78,18,False,True,True,True
1529,29,8,False,False,False,False
1811,132,9,False,True,False,True
4224,106,14,True,False,True,True
61,54,15,False,True,True,True
4975,116,3,True,True,False,True
3649,98,3,True,False,False,False
2210,153,20,True,True,True,True
2297,144,14,True,True,True,True
406,2,19,False,False,True,True
2085,31,20,True,False,True,True
952,136,18,False,True,True,True
3696,26,8,True,False,False,True
3264,109,13,True,False,True,False
785,80,10,False,False,False,False
1806,157,19,True,True,True,True
3099,11,7,True,False,False,True
472,186,14,False,True,True,True
1766,21,16,True,False,True,True
779,58,5,False,True,False,True
1499,88,0,False,False,False,False
3421,74,6,False,True,False,True
4826,177,8,True,True,True,True
3166,122,7,True,False,False,False
3840,132,3,True,False,False,False
1588,136,6,False,False,False,False
3404,169,15,True,True,True,True
3926,111,16,True,True,True,True
4335,200,20,True,True,True,True
3392,136,6,False,True,False,True
2348,6,14,False,False,True,True
4599,183,16,True,True,True,True
1289,78,4,False,False,True,True
2653,123,4,True,True,False,True
4104,19,12,True,False,True,True
2360,44,0,False,True,False,True
2699,190,20,False,True,True,True
21,54,1,False,True,False,True
3940,35,7,True,False,True,True
3956,123,11,True,True,False,False
3715,151,3,True,True,False,True
504,80,9,False,True,True,True
2687,104,10,True,False,False,True
577,58,12,False,False,True,True
2030,133,3,True,True,False,False
320,39,13,False,False,False,False
116,58,17,False,True,True,True
1865,51,11,False,False,True,True
2384,91,20,False,False,True,True
554,117,1,False,False,False,False
1130,24,17,False,False,True,False
3364,155,5,True,True,False,True
4474,35,17,True,False,False,True
4912,105,5,True,True,False,True
3673,59,5,True,False,False,True
2036,78,12,False,False,True,False
433,11,15,False,False,True,True
3300,66,7,True,False,False,False
203,123,8,False,False,False,False
4901,17,6,True,False,False,False
4996,162,10,True,True,True,True
3816,59,4,True,False,False,True
3357,27,4,True,False,False,True
2224,21,9,False,False,False,False
2791,139,13,False,True,True,True
4064,64,3,True,False,False,True
709,33,11,False,False,True,False
3461,47,8,True,False,False,True
2363,26,5,True,False,False,True
1275,155,2,False,False,False,False
923,49,19,False,False,True,False
3732,56,19,True,True,True,True
157,22,20,True,False,False,True
3308,29,20,True,False,True,True
734,198,20,False,True,True,True
4513,192,1,False,True,False,True
3168,58,18,True,False,True,False
149,83,8,False,False,False,False
3033,183,19,True,True,True,True
3241,1,8,True,False,False,True
328,124,8,False,False,False,False
458,191,1,False,True,False,True
904,2,6,False,False,False,False
1057,21,9,False,False,False,False
342,89,5,False,True,True,True
1091,1,20,False,False,True,True
3255,109,12,True,True,False,True
2395,196,12,False,True,True,True
1747,107,16,False,True,True,True
3939,65,13,True,False,True,True
3489,80,4,False,False,True,True
2187,55,10,True,False,False,False
1617,187,0,True,True,False,True
4476,67,0,True,False,False,True
3208,49,9,False,False,False,False
3264,173,14,True,True,True,True
3670,31,10,True,False,False,True
1588,115,3,False,False,False,False
1971,82,1,True,False,False,True
1838,7,18,False,False,True,True
112,51,20,False,True,True,True
1045,78,9,False,True,False,False
3108,90,0,False,False,False,False
4981,135,16,True,True,True,True
1361,76,10,False,False,True,True
2336,153,14,True,True,True,True
3460,175,19,False,False,True,False
283,81,5,False,False,False,False
532,188,20,False,False,True,True
1964,71,14,False,False,True,True
3429,27,18,True,False,True,True
1590,105,7,False,True,False,True
355,12,16,False,False,True,True
2937,63,12,True,False,False,True
2942,141,18,True,False,True,True
1165,70,19,False,False,True,True
1474,17,7,True,False,False,False
3942,183,9,True,True,True,True
2099,49,8,False,False,False,False
1126,39,16,False,True,True,True
382,154,14,False,True,True,True
556,12,16,False,False,True,True
4235,57,14,True,True,True,True
3340,10,17,True,False,True,True
2442,25,7,True,False,False,True
681,64,8,False,True,False,True
961,154,18,False,True,True,True
4080,4,11,False,False,True,True
2595,145,14,True,True,True,True
3942,45,1,True,False,False,True
1174,166,16,True,True,True,True
4700,25,18,True,False,True,True
3307,126,9,True,False,True,False
23,23,19,False,False,True,True
2164,186,0,True,True,False,True
2808,12,19,True,False,True,False
2463,197,17,False,True,True,True
3102,31,7,True,False,False,True
1005,172,10,False,False,True,False
1682,177,17,False,True,True,True
2675,150,13,True,True,True,True
2617,194,19,False,True,True,False
3331,141,15,False,True,True,False
496,32,14,False,False,True,True
2659,39,1,False,False,False,False
3175,145,15,True,True,True,True
896,50,12,False,False,True,True
2553,126,8,True,False,False,False
2609,126,3,True,True,False,True
1478,9,19,False,False,True,True
4527,57,6,True,False,False,True
1147,28,15,False,False,True,True
3917,9,1,True,False,False,True
3309,70,1,True,False,False,True
4216,100,6,True,False,True,True
1094,107,14,False,True,False,True
2359,86,4,False,True,False,True
459,63,2,False,False,False,False
3191,161,10,True,True,True,True
2968,7,5,True,False,True,True
944,153,14,False,True,True,False
2013,37,1,False,False,False,False
4127,164,7,True,False,False,False
4099,179,19,True,True,True,True
458,146,9,False,True,True,True
1877,76,18,False,False,True,True
360,19,3,False,False,False,False
3653,2,0,True,False,False,True
1281,178,6,False,True,False,True
3226,87,11,True,True,True,True
3038,30,3,True,False,False,True
1555,65,3,False,True,False,False
167,39,1,False,False,False,False
2351,180,1,False,True,False,True
4047,91,5,True,False,False,True
3265,117,2,True,True,False,False
3286,98,4,True,True,False,False
2112,110,14,True,False,True,True
699,46,14,False,True,True,True
2523,122,20,False,True,True,True
2460,94,12,True,True,True,True
4314,144,17,True,True,True,True
4755,93,15,True,True,True,True
3559,100,15,True,True,False,True
4282,99,12,True,True,True,True
2248,191,19,True,True,True,True
580,67,5,False,False,False,False
1265,107,16,True,True,False,False
4384,86,6,True,True,False,False
2874,91,0,False,False,False,False
3021,142,1,True,True,False,True
4645,26,9,True,False,True,True
4789,130,20,True,True,True,True
2035,181,4,False,True,False,True
3012,32,4,True,True,False,True
4708,14,2,True,False,False,False
1501,86,15,True,True,True,True
2455,174,1,True,True,False,True
346,124,1,False,True,False,True
4597,46,12,True,False,False,False
1343,129,18,True,True,True,True
3852,1,16,True,False,True,True
3349,119,14,True,True,True,True
3726,29,17,True,False,True,True
2431,195,14,False,True,True,True
3720,63,12,True,True,True,True
3032,199,2,False,False,False,False
2024,157,0,False,True,False,True
2017,136,1,False,False,False,False
4285,77,20,True,True,True,True
4173,156,1,True,True,False,True
564,84,0,False,False,False,False
418,152,18,False,True,True,True
1943,38,8,False,False,False,False
1995,133,16,True,True,True,True
4893,5,6,True,False,True,False
143,16,16,False,False,True,False
2086,171,14,True,True,True,True
1779,159,12,True,True,True,True
4510,25,15,True,True,True,True
2094,61,20,True,False,True,True
762,19,7,False,False,False,False
3259,52,1,True,False,False,True
2799,16,18,True,False,True,True
2458,83,10,True,False,False,True
4872,52,17,True,False,True,True
4763,16,4,True,False,False,True
1752,95,20,False,False,False,False
3268,128,20,False,True,True,True
3818,9,8,True,False,False,True
578,42,5,False,False,False,False
1239,199,8,False,False,True,True
4521,127,12,True,True,False,True
4329,100,5,True,True,False,True
3437,76,18,True,False,True,True
4386,19,1,True,False,False,False
1949,162,12,True,True,False,True
3671,188,12,True,True,True,True
1224,19,6,False,False,True,False
16,46,7,False,False,False,False
3651,146,20,True,True,True,True
3055,15,12,True,False,False,True
1470,17,12,False,False,True,True
3972,8,0,True,False,False,False
1842,159,9,True,True,True,True
2691,46,3,True,False,False,True
1506,8,18,True,False,True,False
1878,71,16,True,False,True,True
407,66,0,False,False,False,False
4557,88,13,True,False,False,True
1028,15,18,False,False,True,False
4605,88,16,True,False,True,False
4240,182,6,True,True,False,True
4973,170,16,True,True,True,True
4122,133,10,True,True,False,True
4107,111,17,True,True,True,True
1410,126,6,True,True,False,True
1369,62,11,False,False,True,True
2330,21,10,False,False,False,False
725,166,18,True,False,True,True
4391,85,15,True,True,True,True
3623,19,17,True,False,True,False
1632,112,10,True,True,True,True
1018,190,3,False,True,False,True
4422,142,10,True,True,True,True
1659,182,11,False,True,False,True
4857,136,8,True,False,True,True
67,124,10,False,True,False,True
2069,27,7,False,False,False,False
4059,55,12,True,False,False,True
3349,47,14,True,False,True,True
920,113,2,False,True,False,True
2870,183,6,True,True,False,True
362,109,5,False,True,True,True
2269,63,6,True,False,True,True
3698,160,12,True,True,True,True
3944,113,20,True,True,True,True
3199,124,15,True,True,True,True
424,114,3,False,False,False,False
170,73,8,False,False,True,False
470,125,4,False,True,False,True
2831,196,7,False,True,False,False
4892,107,2,True,True,False,True
3580,157,7,True,True,True,True
2598,166,1,True,True,False,True
4907,29,15,True,False,True,False
4910,176,15,True,False,True,True
207,107,17,False,True,True,True
278,71,4,False,True,False,True
340,127,1,False,True,False,True
2214,41,9,True,False,False,True
4955,174,5,True,True,False,True
2541,83,11,True,False,True,True
3619,181,13,True,True,True,True
4179,25,7,True,False,True,True
878,155,9,False,True,True,True
2005,115,5,False,True,False,True
176,65,20,False,False,True,True
3651,76,16,True,False,True,True
773,132,17,False,False,True,False
1639,3,14,True,False,True,True
4877,107,8,True,False,True,False
3870,23,19,True,False,True,False
2815,190,18,True,True,True,True
3022,151,2,True,False,False,False
838,166,16,False,True,True,False
1021,198,16,False,True,True,True
868,52,17,False,False,True,True
2966,20,10,False,False,False,False
3249,33,14,True,False,True,True
1422,46,13,False,False,True,True
84,88,6,False,False,False,False
2195,39,15,True,False,True,True
283,120,0,False,True,False,True
2011,119,7,True,False,False,True
788,161,7,False,True,False,True
3750,69,8,True,True,True,True
986,3,1,False,False,False,False
4264,172,13,True,True,True,True
3533,114,4,True,True,False,False
4915,139,13,True,False,True,True
4190,34,1,True,True,False,True
2541,110,1,True,True,False,True
1489,156,5,False,True,False,True
1108,171,11,False,True,True,False
2732,161,2,True,False,False,True
3544,68,6,False,False,False,False
2189,1,4,True,False,False,True
4829,161,16,True,True,False,True
2486,193,2,False,True,False,False
778,12,5,False,False,False,False
526,169,11,False,True,False,True
118,41,18,False,False,False,False
1244,16,7,True,False,True,True
4825,117,10,True,False,False,True
3128,127,2,True,True,False,True
1277,90,9,True,False,True,True
3374,167,2,True,True,False,True
50,66,10,False,False,False,False
4234,53,11,True,False,True,True
3103,89,15,True,True,True,True
2985,163,11,True,True,True,True
2702,193,10,True,True,True,True
38,182,19,False,True,True,True
3530,51,19,True,False,True,False
2913,137,0,True,False,False,True
4155,139,0,True,True,False,True
2881,61,9,True,False,True,True
3013,134,4,False,True,False,True
2337,141,8,False,True,False,True
2038,31,19,False,False,True,True
4089,156,6,True,True,True,True
1498,7,14,True,False,True,True
4312,25,13,True,False,True,True
2649,62,14,False,True,True,True
4711,102,15,True,False,True,True
2424,172,18,True,True,True,True
3911,84,4,True,True,True,True
1677,23,12,False,False,False,False
2595,49,3,True,False,False,True
4382,2,2,True,False,False,True
1703,138,18,True,True,True,True
3338,62,2,False,True,False,True
3939,175,0,False,True,False,True
3801,58,15,True,False,False,True
4057,26,15,True,False,True,False
4043,105,3,True,False,False,True
3013,16,3,True,False,False,True
4854,100,14,True,True,False,False
3885,2,6,True,False,False,False
3231,38,14,True,False,True,True
1170,16,18,False,False,True,True
625,128,5,True,True,False,True
4463,35,15,True,False,True,True
332,173,8,False,True,False,True
3600,130,6,True,True,True,True
2124,106,20,False,False,True,True
1164,196,14,True,True,False,True
3550,11,10,True,False,True,True
2886,24,12,False,False,True,False
2312,147,11,True,False,True,True
244,175,3,False,True,False,True
4421,4,10,True,False,False,True
1294,196,20,False,True,True,True
299,111,9,False,False,False,False
2571,5,0,True,False,False,True
1817,7,11,False,False,True,True
