distance_delta,packet_rate_delta,energy_delta,is_hijack,is_flooder_attack,is_faker_attack,attack_success
23,189,1,False,True,False,True
187,22,13,True,False,True,True
176,2,13,True,False,True,True
105,118,20,True,True,True,True
1,107,13,False,True,True,False
22,102,10,False,True,True,True
143,136,13,True,True,True,True
71,150,18,True,True,True,True
125,165,13,True,True,True,True
2,79,17,False,True,True,True
71,5,10,True,True,True,True
174,101,20,True,True,True,True
36,125,19,False,True,True,True
1,176,7,True,True,True,True
89,104,8,True,True,True,True
161,159,10,True,True,True,True
3,158,12,False,True,True,True
47,31,19,True,True,True,True
86,169,18,True,True,True,True
175,41,13,True,False,True,True
177,166,16,True,True,True,True
74,13,15,True,True,True,True
22,37,5,False,False,False,False
125,167,13,True,True,True,True
100,3,11,True,False,True,True
108,127,12,True,True,True,True
58,11,5,False,False,False,False
7,97,20,False,True,True,True
9,44,19,False,False,True,False
158,37,5,True,False,False,True
139,18,17,True,False,True,True
84,76,17,True,True,True,True
11,189,9,True,True,True,True
25,77,9,True,True,True,True
23,137,10,False,True,True,True
162,57,7,True,True,False,True
139,33,20,True,False,True,True
144,111,9,True,True,True,True
156,87,0,True,True,False,True
74,174,1,True,True,False,True
169,90,13,True,True,True,True
43,107,1,True,True,False,True
177,111,11,True,True,True,True
56,197,8,False,True,True,True
199,75,2,True,True,False,True
136,126,11,True,True,True,True
157,111,14,True,True,True,True
66,58,18,True,True,True,True
128,114,11,True,True,True,True
156,77,1,True,True,False,True
29,117,3,False,True,False,True
130,1,2,True,False,False,True
127,169,15,True,True,True,True
40,123,7,True,True,True,True
7,23,6,False,False,False,False
122,184,5,True,True,False,True
9,51,10,False,True,True,True
137,116,13,True,True,True,True
112,79,6,True,True,True,True
185,15,0,True,False,False,True
180,6,11,True,False,True,True
161,191,0,True,True,False,True
157,36,0,True,True,False,True
196,139,2,True,True,False,True
26,62,17,False,True,True,True
3,186,11,False,True,True,True
164,78,8,True,True,False,True
193,78,13,True,True,True,True
160,122,20,True,True,True,True
28,80,17,False,True,True,False
168,1,13,True,False,True,True
4,195,9,False,True,True,True
13,56,12,True,True,True,True
200,108,8,True,True,True,True
34,131,16,True,True,True,True
34,195,5,True,True,False,False
148,150,6,True,True,False,True
22,53,11,False,True,True,True
3,180,12,False,True,True,True
45,37,11,True,False,True,False
166,78,13,True,True,True,True
56,161,11,True,True,True,True
178,121,10,True,True,True,True
166,74,17,True,True,True,True
155,10,20,True,False,True,True
100,200,6,True,True,True,True
114,75,11,True,True,True,True
27,124,17,False,True,True,True
118,197,3,True,True,True,True
45,99,15,False,True,True,True
179,48,8,True,False,True,True
186,80,16,True,True,True,True
11,151,16,False,True,True,True
189,175,5,True,True,False,True
39,152,10,False,True,True,True
0,95,12,False,True,True,True
47,159,19,True,True,True,True
0,54,2,False,True,False,True
33,97,8,False,True,True,True
74,21,1,True,False,False,False
110,142,10,True,True,True,True
83,36,14,True,True,True,True
30,90,3,False,True,False,True
44,77,15,False,True,True,True
51,10,11,True,False,True,True
98,97,4,True,True,False,True
31,114,20,True,True,True,True
66,126,17,True,True,True,True
42,83,14,False,True,True,True
11,192,11,True,True,True,True
3,156,3,False,True,False,True
71,78,2,True,True,False,True
118,140,2,True,True,False,True
43,70,16,False,True,True,True
146,132,12,True,True,True,True
108,3,8,True,False,True,True
45,88,13,True,True,True,True
131,75,12,True,True,True,True
83,36,16,True,False,True,True
154,128,16,True,True,True,True
50,122,5,True,True,False,True
24,41,17,False,True,True,True
17,104,4,False,True,True,True
80,69,0,True,True,False,True
45,179,18,True,True,True,True
160,96,2,True,True,True,True
32,180,20,False,True,True,False
186,0,12,True,False,True,True
27,152,14,False,True,True,True
102,128,14,True,True,True,True
133,153,10,True,True,True,True
153,74,18,True,True,True,True
107,168,17,True,True,True,True
31,114,11,False,True,True,True
138,106,16,True,True,True,True
170,128,4,True,True,False,True
2,26,12,False,False,True,True
120,135,20,True,True,True,True
71,95,2,True,True,False,False
25,70,14,False,True,True,True
138,61,12,True,True,True,True
140,44,16,True,False,True,True
82,71,15,True,True,True,True
44,185,14,False,True,True,False
104,79,17,True,True,True,True
142,135,4,True,True,False,True
168,175,19,True,True,True,True
136,32,19,True,False,True,False
197,31,2,True,False,False,True
176,31,5,True,False,True,True
27,86,16,False,True,True,True
138,150,8,True,True,True,True
161,197,17,True,True,True,True
45,10,11,True,False,True,True
10,1,5,False,False,True,True
186,124,7,True,True,True,True
171,6,5,True,False,False,True
105,37,3,True,False,False,True
6,59,15,False,True,True,False
0,36,5,False,True,False,False
117,98,2,True,True,False,False
51,186,9,True,True,True,True
92,146,0,True,True,False,True
52,6,8,False,False,True,False
195,196,12,True,True,True,True
185,188,3,True,True,False,False
112,186,12,True,True,True,True
93,99,13,True,True,True,True
89,139,5,True,True,False,True
4,135,7,False,True,True,True
149,91,11,True,True,True,True
149,7,19,True,False,True,True
198,73,3,True,True,True,True
167,70,7,True,True,True,True
183,37,9,True,True,True,True
168,169,9,True,True,True,True
117,95,4,True,True,False,False
183,179,4,True,True,True,True
53,79,15,False,True,True,True
185,173,16,True,True,True,True
76,152,19,True,True,True,True
171,126,2,True,True,False,True
78,93,2,True,True,False,True
138,93,7,True,True,True,True
174,18,7,True,False,True,True
198,45,16,True,True,True,True
36,169,10,False,True,True,False
120,199,0,True,True,False,False
111,164,4,True,True,False,True
88,42,4,True,False,True,True
135,89,7,True,True,True,True
35,47,0,True,True,False,True
150,9,18,True,False,True,True
28,34,7,False,True,True,True
80,114,20,True,True,True,True
95,139,11,True,True,True,True
146,39,11,True,True,True,True
50,104,19,True,True,True,True
7,41,14,False,False,True,False
182,102,15,True,True,True,True
178,53,11,True,True,True,True
60,9,18,False,False,True,True
85,76,3,True,True,False,True
33,183,11,False,True,True,True
43,148,8,False,True,True,True
101,19,13,True,False,True,True
96,11,10,True,False,True,False
73,153,7,True,True,True,True
41,40,11,True,False,True,True
159,69,16,True,True,True,True
24,33,1,True,False,False,False
58,192,16,False,True,True,False
60,111,3,False,True,False,True
32,48,20,False,True,True,True
53,54,11,False,True,True,True
36,33,8,False,False,True,False
76,52,16,True,True,True,True
9,143,3,False,True,True,True
168,102,1,True,True,False,True
132,63,17,True,True,True,True
30,163,18,False,True,True,True
121,177,13,True,True,True,True
144,86,10,True,True,True,True
20,106,0,False,True,False,True
200,44,6,True,False,False,True
127,20,7,True,False,True,True
145,114,16,True,True,True,True
47,181,17,False,True,True,True
1,142,4,False,True,True,True
50,19,9,True,False,True,True
70,169,9,True,True,True,True
196,82,4,True,True,True,True
140,110,11,True,True,True,True
186,133,2,True,True,False,True
8,95,0,False,True,False,False
62,36,13,True,False,True,True
68,42,12,True,True,True,True
121,114,0,True,True,False,True
51,162,15,False,True,True,True
141,25,12,True,False,True,False
22,8,11,False,False,True,True
141,44,2,True,False,False,True
193,181,6,True,True,True,True
196,66,19,True,True,True,True
188,139,7,True,True,True,True
26,81,18,False,True,True,True
63,187,5,True,True,False,False
67,5,10,True,False,True,True
117,79,14,True,True,True,True
16,168,19,True,True,True,True
164,194,2,True,True,False,True
119,47,8,True,True,True,True
17,78,14,False,True,True,False
74,118,1,True,True,False,True
167,189,3,True,True,False,True
41,104,5,False,True,True,True
76,140,9,True,True,True,True
159,1,16,True,False,True,False
46,197,1,True,True,False,True
176,73,7,True,True,True,True
14,118,14,False,True,True,False
105,33,1,True,False,False,True
155,142,17,True,True,True,True
70,70,4,True,True,False,True
66,75,1,True,True,False,True
19,64,3,False,True,True,True
177,155,7,True,True,True,True
79,67,0,True,True,False,True
137,14,3,True,False,False,True
171,82,14,True,True,True,True
131,167,4,True,True,True,True
195,113,20,True,True,True,True
88,78,2,True,True,False,True
22,101,11,False,True,True,True
189,142,20,True,True,True,True
96,44,17,True,True,True,True
0,122,15,False,True,True,True
138,82,16,True,True,True,True
31,189,15,False,True,True,True
68,38,13,True,False,True,True
14,194,10,False,True,True,True
100,22,9,True,False,True,True
38,93,1,False,True,False,True
44,88,14,True,True,True,True
28,28,12,False,False,True,False
34,151,7,True,True,True,True
42,197,4,False,True,False,True
169,120,8,True,True,True,True
45,59,10,False,True,True,True
89,54,5,True,True,False,False
5,78,2,False,True,False,False
80,73,1,True,True,False,True
157,52,12,True,True,True,True
83,176,2,True,True,False,True
65,199,19,True,True,True,True
75,115,5,True,True,False,True
35,60,4,False,True,False,False
177,162,7,True,True,True,True
138,71,14,True,True,True,True
39,0,18,False,False,True,True
34,174,1,False,True,False,True
106,76,4,True,True,False,True
186,113,5,True,True,False,False
163,154,4,True,True,True,True
200,88,19,True,True,True,True
26,22,0,False,False,False,False
141,1,20,True,False,True,True
184,4,15,True,False,True,False
126,1,0,True,False,False,True
76,144,10,True,True,True,True
132,192,14,True,True,True,True
18,49,4,False,True,False,True
70,175,12,True,True,True,True
133,26,9,True,False,True,True
11,160,13,False,True,True,True
157,69,8,True,True,True,True
188,71,2,True,True,False,False
80,96,19,True,True,True,True
88,65,4,True,True,False,True
159,66,2,True,True,False,True
13,70,10,False,True,True,True
158,156,3,True,True,False,True
113,17,4,True,False,False,True
144,125,18,True,True,True,True
72,116,18,True,True,True,True
26,197,19,False,True,True,False
89,8,12,True,False,True,True
113,70,8,True,True,True,True
54,23,10,False,False,True,True
47,46,14,False,False,True,True
68,15,9,True,True,True,True
43,126,1,True,True,False,True
200,115,3,True,True,False,True
171,30,4,True,False,False,False
86,21,14,True,False,True,True
8,30,15,False,False,True,True
54,94,4,True,True,False,True
145,91,17,True,True,True,True
90,176,1,True,True,False,True
30,124,6,False,True,True,False
81,84,14,True,True,True,True
140,39,19,True,False,True,True
95,200,8,True,True,True,True
147,167,6,True,True,True,True
173,189,15,True,True,True,True
112,179,7,True,True,True,True
36,166,19,False,True,True,False
0,59,11,False,True,True,False
20,31,7,False,False,True,True
56,120,0,True,True,False,True
106,169,10,True,True,True,True
121,62,7,True,True,True,True
154,20,14,True,False,True,True
64,130,16,True,True,True,True
190,149,16,True,True,True,True
114,16,15,True,False,True,True
88,113,8,True,True,True,True
6,128,19,False,True,True,True
90,18,18,True,False,True,False
55,35,16,False,True,True,True
48,53,4,True,True,False,True
35,64,9,False,True,True,False
148,23,8,True,False,True,True
145,71,8,True,True,True,True
169,192,19,True,True,True,True
103,160,0,True,True,False,True
122,200,15,True,True,True,True
105,148,1,True,True,False,True
162,116,20,True,True,True,True
72,125,17,True,True,True,True
63,190,8,True,True,True,True
10,166,14,False,True,True,True
145,9,14,True,False,True,True
13,126,18,False,True,True,True
70,148,2,True,True,False,True
182,41,12,True,False,True,True
195,99,6,True,True,False,True
81,161,10,True,True,True,True
47,4,6,False,False,True,True
105,144,3,True,True,False,True
109,82,0,True,True,False,True
191,199,8,True,True,True,True
159,120,11,True,True,True,True
142,175,7,True,True,True,True
174,54,15,True,True,True,True
5,55,19,True,True,True,True
39,106,1,True,True,False,True
86,104,0,True,True,False,True
85,199,5,True,True,True,True
149,22,3,True,False,False,True
107,9,4,True,True,True,True
192,22,20,True,False,True,True
198,138,9,True,True,True,True
157,96,18,True,True,True,True
154,152,8,True,True,True,True
181,55,11,True,True,True,True
4,156,14,False,True,True,True
3,97,16,False,True,True,True
80,161,2,True,True,False,True
152,127,20,True,True,True,True
109,155,14,True,True,True,True
136,34,12,True,False,True,True
119,142,9,True,True,True,True
180,13,17,True,False,True,True
115,41,8,True,False,True,True
17,170,10,False,True,True,True
138,115,16,True,True,True,True
50,52,1,True,True,False,False
4,191,7,False,True,True,True
49,108,0,False,True,False,True
111,68,13,True,True,True,True
183,182,1,True,True,False,True
132,106,13,True,True,True,True
84,48,12,True,False,True,False
97,45,7,True,False,True,False
141,105,16,True,True,True,True
146,15,7,True,False,False,True
142,165,7,True,True,True,True
155,13,12,True,False,True,True
189,42,4,True,False,False,True
165,11,7,True,False,True,True
40,42,19,False,False,True,True
191,114,19,True,True,True,True
16,200,4,False,True,True,True
118,114,15,True,True,True,True
15,168,20,False,True,True,True
122,63,9,True,True,True,True
59,69,13,True,True,True,True
177,88,14,True,True,True,True
178,55,14,True,True,True,True
180,79,11,True,True,True,True
122,6,2,True,False,False,False
105,152,5,True,True,False,True
56,122,3,True,True,False,False
62,173,16,True,True,True,True
100,101,6,True,True,True,True
110,51,12,True,True,True,True
49,30,1,False,True,False,False
154,71,20,True,True,True,True
14,23,17,False,True,True,True
132,0,11,True,False,True,True
123,72,9,True,True,True,True
34,39,4,False,False,False,False
197,156,2,True,True,False,True
66,149,11,True,True,True,True
182,129,0,True,True,False,False
107,182,4,True,True,False,True
74,104,13,True,True,True,True
36,136,3,True,True,True,True
156,88,7,True,True,True,True
71,10,5,True,False,False,False
72,103,4,True,True,True,True
106,187,16,True,True,True,True
124,31,15,True,True,True,True
92,174,13,True,True,True,True
112,193,9,True,True,True,True
198,168,8,True,True,True,True
105,133,7,True,True,True,True
114,7,14,True,False,True,True
41,81,14,False,True,True,False
183,48,11,True,False,True,True
110,72,5,True,True,False,True
105,21,20,True,False,True,True
114,36,16,True,False,True,True
21,164,0,False,True,False,False
97,166,8,True,True,True,True
1,197,7,False,True,False,False
72,53,10,True,True,True,True
7,70,15,False,True,True,True
180,199,12,True,True,True,True
170,35,10,True,False,True,False
109,160,2,True,True,True,True
41,191,5,True,True,False,True
164,155,7,True,True,False,True
55,40,17,False,False,True,False
32,152,3,False,True,False,True
124,97,3,True,True,False,True
85,198,7,True,True,True,True
63,34,13,True,False,True,True
26,5,13,False,False,True,True
172,170,13,True,True,True,True
80,19,1,True,False,False,True
48,34,6,True,True,False,True
27,70,9,False,True,True,True
17,76,9,False,True,True,True
80,113,6,True,True,False,False
181,37,10,True,False,True,False
139,25,5,True,False,False,True
109,153,11,True,True,True,True
87,7,9,True,False,True,False
154,106,7,True,True,True,True
132,94,19,True,True,True,True
31,66,12,False,True,True,True
50,11,15,True,True,True,True
146,138,10,True,True,True,True
141,62,2,True,True,False,False
24,165,5,True,True,True,True
136,50,12,True,True,True,True
181,177,2,True,True,False,True
172,180,16,True,True,True,True
90,62,5,True,True,True,True
28,138,1,False,True,False,True
169,198,2,True,True,False,True
128,54,7,True,True,True,True
10,28,1,False,False,False,False
128,191,14,True,True,True,True
164,164,12,True,True,True,True
28,30,5,False,True,False,True
97,164,19,True,True,True,True
157,24,20,True,False,True,True
4,38,17,False,False,True,True
180,71,12,True,True,True,True
133,102,11,True,True,True,True
16,14,16,False,False,True,True
123,80,10,True,True,True,True
186,142,9,True,True,True,True
46,70,19,True,True,True,True
137,46,0,True,False,False,True
183,152,8,True,True,True,True
21,155,16,False,True,True,True
23,161,1,False,True,False,False
19,103,20,True,True,True,True
156,189,17,True,True,True,True
157,95,2,True,True,False,True
140,147,11,True,True,True,True
103,185,20,True,True,True,True
161,188,17,True,True,True,True
44,52,4,False,True,False,True
179,131,16,True,True,True,True
48,17,4,True,True,True,True
182,101,7,True,True,True,True
156,53,0,True,True,False,True
95,144,19,True,True,True,True
170,194,20,True,True,True,True
31,146,6,False,True,True,True
72,118,1,True,True,False,False
169,192,20,True,True,True,True
110,25,13,True,False,True,False
85,178,9,True,True,True,True
152,196,10,True,True,True,True
71,69,1,True,True,False,False
44,51,20,False,True,True,True
10,54,7,False,True,True,True
118,82,10,True,True,True,True
51,118,19,False,True,True,True
115,29,19,True,True,True,True
184,98,13,True,True,True,True
186,120,6,True,True,False,False
152,52,15,True,True,True,True
164,195,14,True,True,True,True
122,84,19,True,True,True,True
162,166,0,True,True,False,True
93,72,1,True,True,False,True
43,53,20,False,True,True,False
73,184,2,True,True,False,True
159,90,18,True,True,True,True
43,176,17,True,True,True,True
29,38,5,False,False,False,False
167,37,16,True,True,True,True
106,136,17,True,True,True,True
153,57,7,True,True,True,True
26,85,0,True,True,False,False
85,33,7,True,False,True,True
140,98,9,True,True,True,True
169,166,19,True,True,True,True
156,126,14,True,True,True,True
150,98,7,True,True,True,True
116,43,15,True,True,True,True
139,106,16,True,True,True,True
15,32,15,False,False,True,True
53,128,19,True,True,True,True
56,148,20,False,True,True,True
1,107,11,False,True,True,True
6,38,6,False,False,True,True
181,167,3,True,True,False,True
166,126,4,True,True,False,False
172,127,4,True,True,False,True
30,21,7,False,False,True,True
72,194,4,True,True,True,True
151,173,18,True,True,True,True
166,120,15,True,True,True,True
189,78,0,True,True,False,True
165,147,7,True,True,True,True
140,131,6,True,True,True,True
144,176,11,True,True,True,True
168,36,20,True,False,True,True
160,103,4,True,True,False,True
25,21,20,True,True,True,True
150,123,15,True,True,True,True
95,146,14,True,True,True,True
112,178,4,True,True,True,True
71,170,0,True,True,False,True
108,137,20,True,True,True,True
47,40,11,False,False,True,False
184,193,4,True,True,False,True
63,18,13,True,False,True,False
154,143,7,True,True,True,True
98,31,6,True,False,True,True
153,198,17,True,True,True,True
13,149,19,False,True,True,True
191,144,0,True,True,False,True
49,62,14,True,True,True,True
65,32,0,True,True,False,True
82,1,13,True,False,True,True
141,71,7,True,True,True,True
92,24,9,True,False,True,False
177,102,12,True,True,True,True
78,162,11,True,True,True,True
35,56,17,True,True,True,True
118,163,3,True,True,False,True
17,112,0,False,True,False,True
134,116,10,True,True,True,True
119,40,9,True,False,True,True
197,62,16,True,True,True,True
177,68,12,True,True,True,True
109,180,10,True,True,True,True
31,130,7,False,True,True,True
81,68,8,True,True,True,True
49,27,14,True,False,True,False
103,40,1,True,False,False,True
120,44,0,True,False,False,False
144,134,11,True,True,True,True
106,98,17,True,True,True,True
113,73,1,True,True,True,True
34,54,20,False,True,True,False
107,18,13,True,False,True,True
33,140,20,True,True,True,True
8,33,1,False,True,False,False
59,24,20,False,False,True,True
185,15,16,True,False,True,True
58,107,15,True,True,True,True
1,55,2,False,True,False,True
161,170,7,True,True,True,True
60,41,1,True,True,False,True
65,8,16,True,False,True,True
17,102,18,False,True,True,True
76,160,2,True,True,True,True
198,38,3,True,False,False,True
28,181,9,True,True,True,True
100,114,14,True,True,True,True
186,88,11,True,True,True,True
69,129,3,True,True,False,True
141,112,17,True,True,True,True
156,195,16,True,True,True,True
143,16,6,True,False,False,True
69,130,16,True,True,True,True
84,19,6,True,False,False,True
131,139,4,True,True,False,True
154,197,9,True,True,True,True
75,33,17,True,False,True,False
199,61,2,True,True,True,True
65,162,10,True,True,True,True
111,12,0,True,False,False,True
195,10,17,True,False,True,True
130,168,11,True,True,True,True
60,117,18,True,True,True,True
84,166,0,True,True,False,True
117,157,6,True,True,True,True
21,52,7,True,True,True,True
181,3,5,True,False,False,True
160,49,16,True,False,True,True
145,57,7,True,True,True,True
72,98,15,True,True,True,True
33,84,0,True,True,False,False
23,162,1,True,True,False,True
91,144,8,True,True,True,True
90,164,13,True,True,True,True
19,34,5,False,False,False,False
91,151,6,True,True,True,True
113,183,14,True,True,True,True
8,154,19,False,True,True,True
105,85,0,True,True,False,True
58,22,9,False,True,True,True
126,46,0,True,True,False,True
161,127,5,True,True,False,True
102,133,18,True,True,True,True
172,152,19,True,True,True,True
176,193,1,True,True,False,True
7,43,19,False,False,True,False
54,15,4,True,False,True,True
176,200,7,True,True,True,True
134,68,19,True,True,True,True
91,134,15,True,True,True,True
27,136,6,False,True,False,True
10,32,1,False,False,False,False
111,43,11,True,False,True,False
141,116,9,True,True,True,True
108,171,1,True,True,False,True
0,118,18,False,True,True,False
148,183,14,True,True,True,True
197,34,14,True,False,True,True
2,33,18,False,False,True,True
93,189,18,True,True,True,True
31,44,17,False,True,True,True
158,127,8,True,True,True,True
44,106,4,False,True,True,True
191,60,13,True,True,True,True
58,119,4,True,True,True,True
184,123,8,True,True,True,True
133,55,14,True,True,True,True
101,16,12,True,False,True,False
7,174,18,True,True,True,True
76,7,13,True,True,True,True
37,174,11,False,True,True,True
52,161,2,False,True,False,True
192,157,9,True,True,True,True
132,134,4,True,True,True,True
39,129,1,False,True,False,False
105,132,13,True,True,True,True
169,103,18,True,True,True,True
107,110,18,True,True,True,True
51,122,3,False,True,False,True
121,42,7,True,True,True,True
139,15,11,True,True,True,True
46,127,7,False,True,True,True
40,96,3,False,True,False,True
136,26,1,True,True,False,True
104,185,20,True,True,True,True
47,113,15,True,True,True,True
120,198,10,True,True,True,True
16,55,19,False,True,True,True
134,80,13,True,True,True,True
142,36,3,True,True,True,True
100,181,14,True,True,True,True
111,16,1,True,False,False,False
46,151,12,True,True,True,True
112,115,6,True,True,True,True
143,142,16,True,True,True,True
25,175,11,False,True,True,True
47,161,15,False,True,True,True
168,16,4,True,False,False,True
135,106,19,True,True,True,True
171,102,1,True,True,False,True
26,3,12,False,False,True,True
46,188,8,True,True,True,True
151,140,7,True,True,True,True
37,24,1,True,False,False,True
90,125,16,True,True,True,True
172,176,11,True,True,True,True
92,138,10,True,True,True,True
67,166,8,True,True,True,True
31,114,2,True,True,False,True
10,143,3,False,True,False,True
133,67,9,True,True,True,True
180,148,10,True,True,True,True
147,81,1,True,True,False,True
50,154,16,True,True,True,True
123,120,9,True,True,True,True
79,186,6,True,True,False,True
29,67,0,False,True,False,True
186,63,16,True,True,True,True
29,10,12,False,False,True,True
90,84,19,True,True,True,True
83,32,17,True,True,True,True
124,61,6,True,True,False,True
67,17,14,True,True,True,True
114,134,19,True,True,True,True
169,148,1,True,True,False,True
155,47,19,True,False,True,False
19,193,11,False,True,True,True
165,196,6,True,True,True,True
22,161,8,False,True,True,True
87,178,17,True,True,True,True
47,23,9,True,True,True,True
77,186,19,True,True,True,True
79,147,17,True,True,True,True
171,129,12,True,True,True,True
174,133,7,True,True,False,True
2,187,15,False,True,True,True
8,95,11,False,True,True,False
39,31,8,True,False,True,True
124,113,14,True,True,True,True
56,189,7,True,True,True,True
10,91,4,False,True,False,True
173,142,13,True,True,True,True
133,12,0,True,False,False,False
168,20,15,True,False,True,True
105,192,16,True,True,True,True
119,172,19,True,True,True,True
67,135,19,True,True,True,True
5,157,12,False,True,True,True
9,88,15,False,True,True,False
81,50,8,True,True,True,True
86,57,7,True,True,False,False
65,113,18,True,True,True,True
199,174,3,True,True,False,True
31,9,20,False,False,True,True
176,195,9,True,True,True,True
33,174,2,False,True,False,False
118,142,5,True,True,True,True
129,130,19,True,True,True,True
1,177,16,False,True,True,True
135,129,8,True,True,False,False
175,143,16,True,True,True,True
155,176,8,True,True,True,True
38,29,12,False,False,True,True
141,50,2,True,False,True,False
106,177,5,True,True,True,True
152,156,12,True,True,True,True
62,149,1,True,True,False,True
105,78,18,True,True,True,True
139,65,9,True,True,True,True
78,166,16,True,True,True,True
144,105,0,True,True,False,True
178,88,13,True,True,True,True
183,38,11,True,True,True,True
43,82,18,False,True,True,True
51,78,0,False,True,False,True
196,143,18,True,True,True,True
103,196,3,True,True,False,True
160,117,3,True,True,False,True
198,131,4,True,True,False,True
101,48,19,True,True,True,True
176,74,2,True,True,False,True
178,10,4,True,False,False,True
152,114,7,True,True,True,True
40,18,15,False,False,True,False
56,167,6,False,True,True,True
45,37,12,True,True,True,True
62,94,16,True,True,True,True
8,40,7,False,False,True,True
191,172,3,True,True,True,True
88,155,17,True,True,True,True
165,120,0,True,True,False,True
31,82,20,False,True,True,False
72,185,5,True,True,False,True
161,119,12,True,True,True,True
48,198,13,True,True,True,True
2,4,14,False,False,True,True
71,63,11,True,True,True,True
85,200,2,True,True,False,True
2,48,19,False,False,True,True
152,167,13,True,True,True,True
86,39,18,True,True,True,True
136,166,5,True,True,False,True
185,31,11,True,False,True,True
69,94,16,True,True,True,True
97,88,15,True,True,True,True
60,84,0,False,True,False,True
111,36,20,True,True,True,True
88,198,2,True,True,False,True
177,110,0,True,True,False,True
134,139,9,True,True,True,True
143,16,2,True,False,False,True
142,27,5,True,False,False,True
136,175,12,True,True,True,True
105,146,13,True,True,True,True
109,27,5,True,False,True,False
90,45,13,True,False,True,False
163,117,2,True,True,False,True
95,27,10,True,True,True,True
85,124,19,True,True,True,True
59,197,14,True,True,True,True
97,195,12,True,True,True,True
89,150,4,True,True,False,False
123,175,14,True,True,True,True
162,142,3,True,True,False,True
72,140,8,True,True,True,True
29,70,18,False,True,True,True
130,118,12,True,True,True,True
98,54,0,True,True,False,True
26,93,17,False,True,True,True
7,122,19,False,True,True,False
80,148,16,True,True,True,True
